,Year,KM's driven,Price
0,2022,8500,4200000
1,2022,2200,4100000
2,2021,17000,3950000
3,2022,15000,3785000
4,2022,27000,4075000
5,2021,30200,3400000
6,2021,33000,3600000
7,2022,19645,4325000
8,2022,40000,4150000
9,2021,62000,3700000
10,2022,15000,4250000
11,2021,56500,3750000
12,2021,56000,3250000
13,2021,19000,3780000
14,2021,61000,3800000
15,2022,7500,4025000
16,2021,13000,3950000
17,2022,12000,4300000
18,2022,43000,3500000
19,2022,40000,4090000
20,2021,22750,3900000
21,2021,46000,3915000
22,2021,34000,3850000
23,2021,38000,3740000
24,2021,19220,4250000
25,2022,11000,4510000
26,2021,8000,4000000
27,2022,23800,3925000
28,2021,50000,4150000
29,2021,60000,3800000
30,2021,42000,4050000
31,2022,35000,4300000
32,2021,34500,3800000
33,2021,29000,3200000
34,2021,7000,4050000
35,2022,29000,3650000
36,2022,22000,3750000
37,2021,39000,3750000
38,2021,8990,3500000
39,2022,33000,4100000
40,2022,27500,4350000
41,2021,60000,3900000
42,2021,39000,3590000
43,2022,15000,4500000
44,2021,39000,2600000
45,2021,53000,3550000
46,2021,25000,3900000
47,2021,23539,4025000
48,2022,26000,4180000
49,2021,49000,3900000
50,2022,27000,4050000
51,2021,47000,3600000
52,2022,29000,3650000
53,2023,18650,4050000
54,2021,21000,3450000
55,2021,60000,3275000
56,2021,49000,3950000
57,2021,24700,3550000
58,2022,28000,4100000
59,2022,29000,3650000
60,2022,35000,4200000
61,2022,23500,3970000
62,2022,22000,3880000
63,2022,26700,4100000
64,2021,27800,3515000
65,2022,36000,4375000
66,2022,27000,3900000
67,2022,28000,3650000
68,2021,15500,4025000
69,2022,30000,4150000
70,2022,21000,3800000
71,2021,25000,3645000
72,2022,31000,3835000
73,2021,19500,3550000
74,2021,10600,4000000
75,2021,22000,3400000
76,2021,49990,3675000
77,2021,49000,3800000
78,2022,19500,4500000
79,2021,22000,3400000
80,2021,17800,3700000
81,2021,61000,3650000
82,2021,40000,3350000
83,2022,16500,3900000
84,2021,58000,3400000
85,2021,13500,4000000
86,2021,42000,3175000
87,2022,36000,4200000
88,2021,23495,4100000
89,2022,12000,3900000
90,2021,21600,3500000
91,2020,46000,1950000
92,2023,7780,2950000
93,2022,18652,2800000
94,2020,46000,1970000
95,2020,68000,2225000
96,2022,29000,2200000
97,2021,44000,2250000
98,2022,9700,2900000
99,2020,39000,1950000
100,2022,45000,2215000
101,2021,37425,2585000
102,2021,33000,2450000
103,2021,72000,2200000
104,2020,78000,2000000
105,2021,65000,2275000
106,2020,33000,1950000
107,2021,81000,2170000
108,2021,26000,2400000
